,Code,supermarket,fast_food,total_weekly_income,total_private_outdoor_space,RUC11,rural_urban_settings
0,E02000001,27,0,1250.0,3674.5,Urban major conurbation,urban
1,E02000002,0,0,630.0,1236691.1,Urban major conurbation,urban
2,E02000003,2,1,780.0,502488.6,Urban major conurbation,urban
3,E02000004,0,0,740.0,406017.6,Urban major conurbation,urban
4,E02000005,1,0,720.0,438159.0,Urban major conurbation,urban
5,E02000007,2,0,650.0,349468.9,Urban major conurbation,urban
6,E02000008,0,0,630.0,576069.3,Urban major conurbation,urban
7,E02000009,1,0,660.0,425950.7,Urban major conurbation,urban
8,E02000010,0,0,660.0,448967.6,Urban major conurbation,urban
9,E02000011,1,0,770.0,324984.3,Urban major conurbation,urban
10,E02000012,0,0,860.0,437159.3,Urban major conurbation,urban
11,E02000013,0,0,700.0,437158.7,Urban major conurbation,urban
12,E02000014,1,0,660.0,506360.0,Urban major conurbation,urban
13,E02000015,1,0,630.0,266251.0,Urban major conurbation,urban
14,E02000016,2,1,750.0,66185.8,Urban major conurbation,urban
15,E02000017,1,0,810.0,222272.4,Urban major conurbation,urban
16,E02000018,1,0,670.0,391647.1,Urban major conurbation,urban
17,E02000019,2,1,730.0,395575.4,Urban major conurbation,urban
18,E02000020,0,0,660.0,392025.9,Urban major conurbation,urban
19,E02000021,0,1,700.0,738418.3,Urban major conurbation,urban
20,E02000022,1,0,620.0,37397.3,Urban major conurbation,urban
21,E02000023,0,0,670.0,197848.7,Urban major conurbation,urban
22,E02000024,3,7,1050.0,919306.5,Urban major conurbation,urban
23,E02000025,0,0,900.0,610140.3,Urban major conurbation,urban
24,E02000026,0,0,980.0,542193.7,Urban major conurbation,urban
25,E02000027,0,2,800.0,536619.0,Urban major conurbation,urban
26,E02000028,1,0,1060.0,476926.3,Urban major conurbation,urban
27,E02000029,3,0,920.0,490093.4,Urban major conurbation,urban
28,E02000030,0,0,1020.0,2204759.6,Urban major conurbation,urban
29,E02000031,2,0,1030.0,756957.4,Urban major conurbation,urban
30,E02000032,1,0,1080.0,592099.5,Urban major conurbation,urban
31,E02000033,0,0,840.0,478150.6,Urban major conurbation,urban
32,E02000034,2,0,960.0,601963.4,Urban major conurbation,urban
33,E02000035,0,0,930.0,448750.0,Urban major conurbation,urban
34,E02000036,1,1,960.0,718976.1,Urban major conurbation,urban
35,E02000037,2,1,1020.0,706658.3,Urban major conurbation,urban
36,E02000038,1,0,920.0,508683.7,Urban major conurbation,urban
37,E02000039,2,0,1140.0,700370.6,Urban major conurbation,urban
38,E02000040,1,0,910.0,666342.6,Urban major conurbation,urban
39,E02000041,3,0,890.0,518121.5,Urban major conurbation,urban
40,E02000042,2,0,870.0,410011.9,Urban major conurbation,urban
41,E02000043,0,0,1280.0,632963.9,Urban major conurbation,urban
42,E02000044,0,0,820.0,433314.6,Urban major conurbation,urban
43,E02000045,1,0,850.0,373303.5,Urban major conurbation,urban
44,E02000046,2,0,1050.0,299154.5,Urban major conurbation,urban
45,E02000047,1,0,680.0,402347.5,Urban major conurbation,urban
46,E02000048,0,0,1110.0,646428.6,Urban major conurbation,urban
47,E02000049,0,0,680.0,255983.3,Urban major conurbation,urban
48,E02000050,1,3,920.0,332350.8,Urban major conurbation,urban
49,E02000051,1,0,1010.0,554806.4,Urban major conurbation,urban
50,E02000052,1,2,1010.0,280006.9,Urban major conurbation,urban
51,E02000053,1,0,810.0,220910.9,Urban major conurbation,urban
52,E02000054,0,0,950.0,437646.0,Urban major conurbation,urban
53,E02000055,4,10,870.0,495444.6,Urban major conurbation,urban
54,E02000056,0,0,1300.0,3463431.0,Urban major conurbation,urban
55,E02000057,0,0,1050.0,320196.8,Urban major conurbation,urban
56,E02000058,2,0,1200.0,2497786.4,Urban major conurbation,urban
57,E02000059,1,0,700.0,299886.0,Urban major conurbation,urban
58,E02000060,0,0,1060.0,469055.5,Urban major conurbation,urban
59,E02000061,3,1,1140.0,585333.2,Urban major conurbation,urban
60,E02000062,5,8,770.0,195778.6,Urban major conurbation,urban
61,E02000063,0,0,890.0,351690.0,Urban major conurbation,urban
62,E02000064,0,1,830.0,234983.7,Urban major conurbation,urban
63,E02000065,0,0,910.0,183815.0,Urban major conurbation,urban
64,E02000066,0,0,680.0,201935.2,Urban major conurbation,urban
65,E02000067,3,0,730.0,379711.1,Urban major conurbation,urban
66,E02000068,1,0,750.0,227180.7,Urban major conurbation,urban
67,E02000069,0,0,770.0,393536.7,Urban major conurbation,urban
68,E02000070,0,0,850.0,633633.0,Urban major conurbation,urban
69,E02000071,1,0,820.0,454668.9,Urban major conurbation,urban
70,E02000072,1,0,690.0,480482.9,Urban major conurbation,urban
71,E02000073,0,0,910.0,850870.8,Urban major conurbation,urban
72,E02000074,0,0,680.0,438404.9,Urban major conurbation,urban
73,E02000075,0,0,860.0,757382.2,Urban major conurbation,urban
74,E02000077,1,0,850.0,521483.3,Urban major conurbation,urban
75,E02000078,1,0,910.0,683353.4,Urban major conurbation,urban
76,E02000079,5,2,850.0,546725.2,Urban major conurbation,urban
77,E02000080,4,0,820.0,684040.1,Urban major conurbation,urban
78,E02000081,0,0,800.0,636379.8,Urban major conurbation,urban
79,E02000082,0,1,900.0,662613.9,Urban major conurbation,urban
80,E02000083,1,1,790.0,646131.6,Urban major conurbation,urban
81,E02000084,0,0,920.0,1016168.4,Urban major conurbation,urban
82,E02000085,1,0,860.0,692456.7,Urban major conurbation,urban
83,E02000086,0,0,970.0,563515.2,Urban major conurbation,urban
84,E02000087,0,0,980.0,1032825.8,Urban major conurbation,urban
85,E02000088,0,0,920.0,719505.2,Urban major conurbation,urban
86,E02000089,0,0,920.0,2364135.9,Urban major conurbation,urban
87,E02000090,3,0,770.0,609180.3,Urban major conurbation,urban
88,E02000091,0,0,820.0,818646.1,Urban major conurbation,urban
89,E02000092,1,0,770.0,572596.3,Urban major conurbation,urban
90,E02000093,1,0,880.0,535860.2,Urban major conurbation,urban
91,E02000094,1,0,880.0,391329.2,Urban major conurbation,urban
92,E02000095,2,4,830.0,491402.4,Urban major conurbation,urban
93,E02000096,1,1,1070.0,734890.0,Urban major conurbation,urban
94,E02000097,0,0,810.0,559713.8,Urban major conurbation,urban
95,E02000098,0,0,920.0,557410.8,Urban major conurbation,urban
96,E02000099,1,0,960.0,417375.8,Urban major conurbation,urban
97,E02000100,0,2,1060.0,655834.6,Urban major conurbation,urban
98,E02000101,3,0,730.0,446190.5,Urban major conurbation,urban
99,E02000102,0,1,740.0,267095.0,Urban major conurbation,urban
100,E02000103,0,0,760.0,386766.0,Urban major conurbation,urban
101,E02000104,0,0,830.0,409542.0,Urban major conurbation,urban
102,E02000105,2,0,850.0,382739.1,Urban major conurbation,urban
103,E02000106,1,0,780.0,381164.0,Urban major conurbation,urban
104,E02000107,0,11,840.0,355578.8,Urban major conurbation,urban
105,E02000108,0,0,830.0,266030.1,Urban major conurbation,urban
106,E02000109,3,1,820.0,343968.9,Urban major conurbation,urban
107,E02000110,0,0,930.0,289286.3,Urban major conurbation,urban
108,E02000111,0,0,790.0,392236.4,Urban major conurbation,urban
109,E02000112,1,3,780.0,312692.2,Urban major conurbation,urban
110,E02000113,1,1,600.0,232768.4,Urban major conurbation,urban
111,E02000114,2,0,840.0,213923.5,Urban major conurbation,urban
112,E02000115,1,0,830.0,373483.5,Urban major conurbation,urban
113,E02000116,1,0,660.0,136075.6,Urban major conurbation,urban
114,E02000117,0,0,590.0,224593.2,Urban major conurbation,urban
115,E02000118,0,1,750.0,306795.4,Urban major conurbation,urban
116,E02000119,1,0,620.0,147489.5,Urban major conurbation,urban
117,E02000120,1,0,880.0,154355.4,Urban major conurbation,urban
118,E02000121,1,4,800.0,260771.9,Urban major conurbation,urban
119,E02000122,0,0,970.0,3663684.3,Urban major conurbation,urban
120,E02000123,1,2,660.0,301508.6,Urban major conurbation,urban
121,E02000124,3,0,1010.0,247805.9,Urban major conurbation,urban
122,E02000125,0,0,910.0,286418.7,Urban major conurbation,urban
123,E02000126,0,0,600.0,70148.7,Urban major conurbation,urban
124,E02000127,1,0,720.0,569032.5,Urban major conurbation,urban
125,E02000128,1,0,930.0,629503.5,Urban major conurbation,urban
126,E02000130,3,0,940.0,444612.0,Urban major conurbation,urban
127,E02000131,1,0,840.0,332195.4,Urban major conurbation,urban
128,E02000132,4,4,920.0,447597.2,Urban major conurbation,urban
129,E02000133,0,0,1170.0,2126692.8,Urban major conurbation,urban
130,E02000134,2,3,890.0,619454.8,Urban major conurbation,urban
131,E02000135,1,0,600.0,260640.7,Urban major conurbation,urban
132,E02000136,0,0,820.0,959247.7,Urban major conurbation,urban
133,E02000137,0,0,1010.0,829324.4,Urban major conurbation,urban
134,E02000138,0,0,1040.0,772849.6,Urban major conurbation,urban
135,E02000139,2,0,1020.0,480342.1,Urban major conurbation,urban
136,E02000140,1,0,660.0,595753.3,Urban major conurbation,urban
137,E02000141,2,0,910.0,340449.0,Urban major conurbation,urban
138,E02000142,2,0,1090.0,818229.0,Urban major conurbation,urban
139,E02000144,2,8,1150.0,729174.3,Urban major conurbation,urban
140,E02000145,3,0,690.0,640910.8,Urban major conurbation,urban
141,E02000146,0,0,910.0,548888.5,Urban major conurbation,urban
142,E02000147,1,0,1180.0,1362902.2,Urban major conurbation,urban
143,E02000148,2,0,1090.0,1002068.8,Urban major conurbation,urban
144,E02000149,0,0,790.0,695786.5,Urban major conurbation,urban
145,E02000150,1,1,1000.0,663615.3,Urban major conurbation,urban
146,E02000151,2,0,1120.0,1104869.5,Urban major conurbation,urban
147,E02000152,0,0,760.0,546139.6,Urban major conurbation,urban
148,E02000153,0,0,1100.0,877680.6,Urban major conurbation,urban
149,E02000154,2,0,980.0,1008470.0,Urban major conurbation,urban
150,E02000155,0,0,810.0,724095.5,Urban major conurbation,urban
151,E02000156,3,1,990.0,1391975.6,Urban major conurbation,urban
152,E02000157,0,1,1030.0,1109026.6,Urban major conurbation,urban
153,E02000158,1,0,900.0,867156.1,Urban major conurbation,urban
154,E02000159,2,1,1040.0,1717257.4,Urban major conurbation,urban
155,E02000160,1,0,1020.0,1001709.3,Urban major conurbation,urban
156,E02000161,0,0,1050.0,875289.0,Urban major conurbation,urban
157,E02000162,0,1,870.0,892793.8,Urban major conurbation,urban
158,E02000163,1,0,1050.0,1608395.7,Urban major conurbation,urban
159,E02000165,0,0,1000.0,760376.5,Urban city and town,urban
160,E02000166,1,0,1000.0,392029.6,Urban major conurbation,urban
161,E02000167,0,0,1480.0,292517.3,Urban major conurbation,urban
162,E02000168,2,10,1070.0,164111.0,Urban major conurbation,urban
163,E02000169,1,0,1330.0,515596.4,Urban major conurbation,urban
164,E02000170,1,1,1240.0,238458.4,Urban major conurbation,urban
165,E02000171,0,1,1120.0,148528.5,Urban major conurbation,urban
166,E02000172,1,3,700.0,81452.4,Urban major conurbation,urban
167,E02000173,2,1,1350.0,254415.8,Urban major conurbation,urban
168,E02000174,0,1,910.0,152742.9,Urban major conurbation,urban
169,E02000175,4,2,1130.0,138832.9,Urban major conurbation,urban
170,E02000176,1,0,1340.0,150370.6,Urban major conurbation,urban
171,E02000177,0,3,770.0,88549.6,Urban major conurbation,urban
172,E02000178,1,0,840.0,134094.1,Urban major conurbation,urban
173,E02000179,2,2,1080.0,113507.8,Urban major conurbation,urban
174,E02000180,1,0,860.0,117659.7,Urban major conurbation,urban
175,E02000181,0,0,1300.0,243260.3,Urban major conurbation,urban
176,E02000182,3,3,1030.0,163201.7,Urban major conurbation,urban
177,E02000183,2,2,1040.0,110581.0,Urban major conurbation,urban
178,E02000184,1,7,720.0,55105.8,Urban major conurbation,urban
179,E02000185,3,0,690.0,92800.7,Urban major conurbation,urban
180,E02000186,6,19,870.0,82284.6,Urban major conurbation,urban
181,E02000187,3,8,600.0,16775.1,Urban major conurbation,urban
182,E02000188,3,6,620.0,17884.8,Urban major conurbation,urban
183,E02000189,0,5,690.0,20453.5,Urban major conurbation,urban
184,E02000190,2,1,660.0,13629.6,Urban major conurbation,urban
185,E02000191,6,6,820.0,13086.5,Urban major conurbation,urban
186,E02000192,3,2,780.0,15137.6,Urban major conurbation,urban
187,E02000193,7,19,870.0,15288.8,Urban major conurbation,urban
188,E02000194,1,0,890.0,421185.8,Urban major conurbation,urban
189,E02000195,0,0,970.0,758910.2,Urban major conurbation,urban
190,E02000196,0,0,860.0,429743.9,Urban major conurbation,urban
191,E02000197,1,0,830.0,404139.3,Urban major conurbation,urban
192,E02000198,0,0,740.0,304654.2,Urban major conurbation,urban
193,E02000199,0,0,880.0,325894.1,Urban major conurbation,urban
194,E02000200,0,0,790.0,375863.7,Urban major conurbation,urban
195,E02000201,2,0,670.0,249218.1,Urban major conurbation,urban
196,E02000202,1,0,830.0,289785.2,Urban major conurbation,urban
197,E02000203,2,0,720.0,217040.5,Urban major conurbation,urban
198,E02000204,2,0,850.0,311471.6,Urban major conurbation,urban
199,E02000206,0,0,710.0,320211.7,Urban major conurbation,urban
200,E02000207,1,0,780.0,364407.5,Urban major conurbation,urban
