Code;Msoa_name;education_no_qualifications;lone_parent_unemployed;limited_activity_fam_member;families_with_3plus_kids;health_life_expectancy_at_birth;child_poverty;overcrowded_houses;self_harm_hospital_admission
E02000166;Camden 001;13,2;49,4;8,266027259;16,18303571;66,849155;15,4;18,2;66,4
E02000167;Camden 002;5,5;31,9;4,796072508;15,71753986;73,177125;3,1;15,8;40,5
E02000168;Camden 003;12,4;47,7;7,04845815;15,27777778;63,777225;14,1;27,3;32,3
E02000169;Camden 004;6,7;38,4;4,321068482;20,75919336;74,219795;3,6;13,4;17,6
E02000170;Camden 005;7,6;37,3;4,59342768;12,03369434;68,183395;11,4;28,9;46,5
E02000171;Camden 006;10,1;53,3;6,689690458;16,37831603;67,33497;14,6;24,5;29
E02000172;Camden 007;22,3;60,8;10,43658224;20,94370861;56,82852;29,6;37,3;42,6
E02000173;Camden 008;6;44;4,872964169;15,09433962;70,755575;5,7;28,9;25,3
E02000174;Camden 009;14,5;50,8;8,010098692;17,34693878;59,791555;23;35,4;30,5
E02000175;Camden 010;8,6;48,1;6,11437613;13,18537859;61,17273;16,4;31,7;30,2
E02000176;Camden 011;5,4;31,9;4,299388043;11,28205128;71,694165;3,1;26,1;45
E02000177;Camden 012;19,1;59,3;9,286991506;22,13279678;58,54713;28;32,8;39,5
E02000178;Camden 013;14,4;50,9;8,79530315;18,08118081;57,02905;28,5;35,8;32,8
E02000179;Camden 014;11,6;58,7;6,399115184;18,90166028;67,904165;17,9;29,4;27,1
E02000180;Camden 015;13,4;45,9;6,742257986;20,52631579;61,401425;23,8;35,1;34,7
E02000181;Camden 016;6,5;59;4,94291645;11,25356125;66,92969;14,4;22,3;25,1
E02000182;Camden 017;11,9;59,5;6,510377781;19,33774834;67,805695;14,6;24,6;24,9
E02000183;Camden 018;11,4;53,3;6,874763048;19,37984496;66,58733;14,9;31,3;47,2
E02000184;Camden 019;17,3;54,4;8,275163252;21,67755991;57,348295;32,1;37,7;36,5
E02000185;Camden 020;18,6;57,6;9,806996381;21,74381055;59,11793;28,5;38,9;31,8
E02000186;Camden 021;12,6;51,6;7,163152385;16,95906433;66,63469;21,7;39,4;38,9
E02000187;Camden 022;25,4;58,3;10,57020233;26,54508612;54,41354;30,7;37,8;35,3
E02000188;Camden 023;20;46,3;7,750540735;27,10059172;55,60379;28;41,1;29,3
E02000189;Camden 024;15,4;42,2;6,544414536;40,98073555;57,95473;20,9;47,6;22,1
