,Code,Msoa_name,education_no_qualifications,lone_parent_unemployed,limited_activity_fam_member,families_with_3plus_kids,health_life_expectancy_at_birth,child_poverty,overcrowded_houses,self_harm_hospital_admission,AvPTAI2015,supermarket,fast_food,total_weekly_income,total_private_outdoor_space
0,E02000001,City of London 001,6.7,24.2,4.447457627,8.816705336,70.7988,7.1,34.6,19.2,268.4737922975158,27,0,1250.0,3674.5
1,E02000002,Barking and Dagenham 001,32.3,56.0,10.43542435,19.0521327,56.66382,27.2,14.7,62.6,304.9121167883212,0,0,630.0,1236691.1
2,E02000003,Barking and Dagenham 002,22.8,48.8,7.884519662,19.14285714,62.953275,17.9,14.1,28.1,442.1456590038314,2,1,780.0,502488.6
3,E02000004,Barking and Dagenham 003,30.1,42.2,9.479132967,17.66917293,63.71457,18.4,8.1,31.2,500.2015333333333,0,0,740.0,406017.6
4,E02000005,Barking and Dagenham 004,28.9,52.3,8.327493576,19.67334818,59.2588,19.6,15.1,34.5,586.393588607595,1,0,720.0,438159.0
5,E02000007,Barking and Dagenham 006,32.1,57.3,9.418723695,20.82459818,59.795295,27.5,17.8,33.4,430.41206382978726,2,0,650.0,349468.9
6,E02000008,Barking and Dagenham 007,32.3,54.9,10.32932838,17.10945802,57.94949,24.6,17.0,47.1,569.1303155487806,0,0,630.0,576069.3
7,E02000009,Barking and Dagenham 008,29.1,51.0,9.19594997,17.25431358,58.816005,27.2,20.1,37.4,653.8556022099448,1,0,660.0,425950.7
8,E02000010,Barking and Dagenham 009,31.1,61.7,9.112013929,19.33662668,59.845575,26.8,19.6,45.7,707.3320933333333,0,0,660.0,448967.6
9,E02000011,Barking and Dagenham 010,28.6,48.3,7.548084694,18.99313501,62.6281,22.5,13.3,21.9,238.04444852941177,1,0,770.0,324984.3
10,E02000012,Barking and Dagenham 011,22.8,45.7,6.846682848,24.06456346,63.133925,13.7,14.2,26,771.0292824858757,0,0,860.0,437159.3
11,E02000013,Barking and Dagenham 012,31.2,52.6,8.985955725,22.8978979,58.53829,25.0,17.4,41,682.057523364486,0,0,700.0,437158.7
12,E02000014,Barking and Dagenham 013,32.8,57.8,9.391618805,19.2722372,61.353475,22.1,17.8,33.6,310.47084615384614,1,0,660.0,506360.0
13,E02000015,Barking and Dagenham 014,30.5,56.4,9.136586011,19.7865353,57.879625,28.0,21.5,51.4,409.75475,1,0,630.0,266251.0
14,E02000016,Barking and Dagenham 015,15.0,55.2,4.194893174,19.83673469,59.566405,26.3,46.2,55.9,212.04210566037736,2,1,750.0,66185.8
15,E02000017,Barking and Dagenham 016,20.0,47.7,6.648623205,22.55707763,58.514245,16.9,25.0,28.6,253.86377678571424,1,0,810.0,222272.4
16,E02000018,Barking and Dagenham 017,30.1,57.3,8.42519685,19.71544715,57.587445,24.2,20.5,35.1,588.0059612903226,1,0,670.0,391647.1
17,E02000019,Barking and Dagenham 018,28.8,54.0,7.986950217,20.86700955,59.032035,25.4,18.4,45.3,378.1184216216216,2,1,730.0,395575.4
18,E02000020,Barking and Dagenham 019,27.1,50.6,8.861578266,23.06049822,56.247635,22.5,21.8,35.4,597.5689931034483,0,0,660.0,392025.9
19,E02000021,Barking and Dagenham 020,28.1,50.8,9.159919028,23.3278956,60.77837,23.2,18.6,29.8,269.4000208333334,0,1,700.0,738418.3
20,E02000022,Barking and Dagenham 021,24.9,59.2,6.23219779,24.20856611,55.561,30.4,38.8,37.9,625.3887626262626,1,0,620.0,37397.3
21,E02000023,Barking and Dagenham 022,24.9,59.7,6.680037026,24.03169014,58.302645,27.4,27.5,38.1,389.34895287958113,0,0,670.0,197848.7
22,E02000024,Barnet 001,12.4,29.2,6.331232769,14.21838178,70.64389,7.7,9.7,50.2,437.8404592857143,3,7,1050.0,919306.5
23,E02000025,Barnet 002,15.8,47.1,6.96329814,11.67664671,63.721445,13.5,14.5,54.4,363.649003968254,0,0,900.0,610140.3
24,E02000026,Barnet 003,15.6,28.7,6.177728497,13.93341554,68.19918,8.3,7.4,41.2,580.7391988950276,0,0,980.0,542193.7
25,E02000027,Barnet 004,22.6,47.4,8.355907481,18.62318841,62.339905,19.6,14.8,69.4,525.1093028846154,0,2,800.0,536619.0
26,E02000028,Barnet 005,13.5,55.4,6.114174505,13.95646607,68.83416,15.9,11.0,44.6,617.1723166485309,1,0,1060.0,476926.3
27,E02000029,Barnet 006,16.7,47.5,6.363743102,13.4439834,67.012655,14.8,14.3,57.2,493.0355289256198,3,0,920.0,490093.4
28,E02000030,Barnet 007,17.8,45.6,7.360350493,17.51509922,68.06285,9.5,6.7,50.7,196.26118411046517,0,0,1020.0,2204759.6
29,E02000031,Barnet 008,14.5,47.1,7.636413491,14.81481481,68.197055,5.8,9.4,52,290.2312034220532,2,0,1030.0,756957.4
30,E02000032,Barnet 009,16.3,30.6,5.943744432,13.73307544,67.02257,6.0,6.3,52.8,561.8330989010989,1,0,1080.0,592099.5
31,E02000033,Barnet 010,18.5,48.9,7.613915896,15.25862069,66.245885,14.8,13.1,61.3,421.1559769585253,0,0,840.0,478150.6
32,E02000034,Barnet 011,15.5,42.2,6.723084156,13.14636284,67.2999,13.2,13.1,39.9,419.2611544715447,2,0,960.0,601963.4
33,E02000035,Barnet 012,14.2,47.3,7.583176397,12.93478261,65.504,12.1,18.3,47.8,175.09816190476192,0,0,930.0,448750.0
34,E02000036,Barnet 013,17.6,42.7,7.158149493,19.73333333,64.65823,12.6,14.9,45.1,478.5508193277311,1,1,960.0,718976.1
35,E02000037,Barnet 014,17.2,44.6,6.169797762,26.85325265,66.959385,7.8,11.9,60.9,314.34391145,2,1,1020.0,706658.3
36,E02000038,Barnet 015,15.4,46.1,7.209435039,15.54054054,64.997215,12.5,16.1,73.1,435.0301264822135,1,0,920.0,508683.7
37,E02000039,Barnet 016,11.3,36.4,5.108614232,18.23085221,70.467745,9.0,11.1,26.5,566.1661009036145,2,0,1140.0,700370.6
38,E02000040,Barnet 017,17.5,49.6,6.419341392,22.63759086,67.485825,12.8,14.2,49.6,344.9373276353276,1,0,910.0,666342.6
39,E02000041,Barnet 018,18.2,43.0,7.025309273,25.15611062,65.75049,12.9,17.1,68.4,206.1053203285421,3,0,890.0,518121.5
40,E02000042,Barnet 019,14.9,43.2,7.3409155,13.36593317,65.159865,11.6,20.7,48.4,159.58913764044945,2,0,870.0,410011.9
41,E02000043,Barnet 020,10.4,32.4,5.158523909,14.59510358,69.62998,3.9,8.6,20.4,469.2608228571429,0,0,1280.0,632963.9
42,E02000044,Barnet 021,21.0,47.5,7.062321893,18.12191104,61.94451,17.1,20.9,57.7,215.44890825688077,0,0,820.0,433314.6
43,E02000045,Barnet 022,16.7,48.7,6.935625672,13.23430115,64.278485,15.8,20.3,73,489.3867203389831,1,0,850.0,373303.5
44,E02000046,Barnet 023,11.1,43.2,5.550049554,11.8556701,65.980085,8.9,22.4,43.5,138.72239647577092,2,0,1050.0,299154.5
45,E02000047,Barnet 024,24.2,48.9,8.414666315,20.72127139,62.026525,19.8,29.0,51.3,140.08878545454544,1,0,680.0,402347.5
46,E02000048,Barnet 025,12.4,47.8,4.970968728,18.51568477,70.220285,10.0,12.4,35,174.91420801232664,0,0,1110.0,646428.6
47,E02000049,Barnet 026,21.4,47.4,7.738445255,26.6146203,58.238905,30.0,34.3,62.5,576.5890045248868,0,0,680.0,255983.3
48,E02000050,Barnet 027,16.4,47.4,7.025039746,17.16475096,61.8008,15.5,20.6,29.4,283.8196761904762,1,3,920.0,332350.8
49,E02000051,Barnet 028,12.9,40.8,6.187116919,22.04301075,68.78882,7.1,16.0,25.5,481.9323636363636,1,0,1010.0,554806.4
50,E02000052,Barnet 029,11.7,46.8,5.578469788,13.83075523,65.49568,10.7,18.4,26.2,631.947001814882,1,2,1010.0,280006.9
51,E02000053,Barnet 030,15.5,51.5,5.312176613,17.45235707,62.009875,18.7,38.0,34.9,221.92188269794724,1,0,810.0,220910.9
